vidId,vidTitle,vidUrl,viewCount,likeCount,chanName,chanUrl,subsCount,vidCount,category
_ymdrlT7KGk,Transformers: Rise Of The Beasts - Di Bioskop 7 Juni,https://www.youtube.com/watch?v=_ymdrlT7KGk,1106671,31,UIP Movies Indonesia,https://www.youtube.com/channel/UC5-keBwD6V0qb9KiMSZO7Vw,82700,945,1
EPlsT0X7qnQ,FAST X | Di Bioskop 17 Mei,https://www.youtube.com/watch?v=EPlsT0X7qnQ,5225172,77,UIP Movies Indonesia,https://www.youtube.com/channel/UC5-keBwD6V0qb9KiMSZO7Vw,82700,945,1
qaaJuQlLEyY,Pourquoi on aime les produits de marque Netto ? - Les grillades,https://www.youtube.com/watch?v=qaaJuQlLEyY,3300787,8,NettoFrance,https://www.youtube.com/channel/UCVetyDDXsL0NeWE9ZW-bsow,2000,114,1
kJ6BJdVR7s0,The Luminous Solution | Official Teaser 2 | Introducing the second couple of the series!,https://www.youtube.com/watch?v=kJ6BJdVR7s0,7747,293,GagaOOLala - Find YourStory,https://www.youtube.com/channel/UCAv7YCgnRo86h7gOMMBf-GQ,409000,2335,1
crt0jGDZpUg,GaviNatura - 100% Natural and Effective Heartburn and Indigestion Relief (20s),https://www.youtube.com/watch?v=crt0jGDZpUg,322383,4,Gaviscon UK,https://www.youtube.com/channel/UC9YXy3ch5DKdsUD4DsNR5sA,6500,47,1
y5Vi7NEcaXg,SPIDER MAN ACROSS THE SPIDER VERSE &quot;Selfie With The Spot&quot; Trailer (NEW 2023),https://www.youtube.com/watch?v=y5Vi7NEcaXg,88509,2986,JoBlo Animated Videos,https://www.youtube.com/channel/UC2sxxXRBL5SgY0fI58BrOCA,2000000,3331,1
nr3RRWPXbhM,Transformers: Rise of the Beasts | &quot;Meet the Autobots&quot; Clip (2023 Movie),https://www.youtube.com/watch?v=nr3RRWPXbhM,116656,7143,Paramount Pictures,https://www.youtube.com/channel/UCF9imwPMSGz4Vq1NiTWCC7g,3020000,1642,1
TsfVdLSp2a0,Character Promo Video: Asta | Black Clover: Sword of the Wizard King | Netflix Anime,https://www.youtube.com/watch?v=TsfVdLSp2a0,40218,4483,Netflix Anime,https://www.youtube.com/channel/UCBSs9x2KzSLhyyA9IKyt4YA,1380000,1456,1
D56W1zRlTpk,Zombies in Asia - Episodes 3 / Japan ( Countryballs ),https://www.youtube.com/watch?v=D56W1zRlTpk,66489,8870,Andjobe,https://www.youtube.com/channel/UCTRKbVsBIAowTvU4B4yxJTA,633000,70,1
WDIe0PF7grE,Five Nights At Freddy’s | Teaser Trailer,https://www.youtube.com/watch?v=WDIe0PF7grE,271338,17115,Universal Pictures México,https://www.youtube.com/channel/UCuON8B3q1FMIOSE-0sbC_rQ,1590000,304,1
s2eT84O6kWA,"Power Book II: Ghost Season 3 &#39;Episode 10 Breakdown, Easter Eggs &amp; Clues&#39;",https://www.youtube.com/watch?v=s2eT84O6kWA,11497,676,MOVIE BOT,https://www.youtube.com/channel/UCu1c5btvbPmTgphSX69guNg,133000,875,1
rRe_gQYoRTs,"Transformers: Rise of the Beasts | Filming in Peru Featurette - Anthony Ramos, Dominique Fishback",https://www.youtube.com/watch?v=rRe_gQYoRTs,207322,10614,Paramount Pictures,https://www.youtube.com/channel/UCF9imwPMSGz4Vq1NiTWCC7g,3020000,1642,1
u5_kAhT9_ZU,How To Survive On Mars - Mitsi Studio,https://www.youtube.com/watch?v=u5_kAhT9_ZU,3212,1092,Mitsi Studio,https://www.youtube.com/channel/UCuXCgyOCMXic7j0_wghXnRA,248000,11,1
YTlipNIValU,LIFE AFTER COLLEGE (Job Application) | Pinoy Animation,https://www.youtube.com/watch?v=YTlipNIValU,2718,645,Vince Animation,https://www.youtube.com/channel/UC6RsTvPS0L9hXbvfEtQA3PQ,399000,42,1
s1iZ1-e1SfA,MIND BLOWN!!! We Put TOP FUEL NITRO In a Daily Driver and It Made INSANE HORSEPOWER!,https://www.youtube.com/watch?v=s1iZ1-e1SfA,379424,32885,Cleetus McFarland,https://www.youtube.com/channel/UCh8f8vssLddD2PbnU3Ag_Bw,3200000,1309,1
Bc9r_6aCkJY,Luthfi Aulia - Langit Favorit (Official Music Video),https://www.youtube.com/watch?v=Bc9r_6aCkJY,3770869,115510,Luthfi Aulia Chandra,https://www.youtube.com/channel/UCaa7a4Ov1DiaNLnr4PJ5yig,625000,70,1
8il_8THnCKM,IM BROKE MONEY ZERO (Animation Meme),https://www.youtube.com/watch?v=8il_8THnCKM,261748,27893,Nutshell Animations,https://www.youtube.com/channel/UChFs0d8syPIK6x8q4C6BrJw,4650000,1171,1
EUtwvadIx88,COMO VENCER: EL EXORCISTA DEL PAPA,https://www.youtube.com/watch?v=EUtwvadIx88,70186,4382,Como Vencer,https://www.youtube.com/channel/UCEHsmfo8O-wH_BTItJaKzEg,984000,175,1
NreBfJP5STw,"Teaser - Who&#39;s Japan? Intro Video (Tamil) | Karthi, Anu Emmanuel, Sunil | GV Prakash | Raju Murugan",https://www.youtube.com/watch?v=NreBfJP5STw,10523797,5261898,Dream Warrior Pictures,https://www.youtube.com/channel/UCbpjEr8lHlnkf1SQ5tnDEYw,1270000,615,1
uqfjyikNLZY,Cheech Marin | The Eric Andre Show | adult swim,https://www.youtube.com/watch?v=uqfjyikNLZY,73490,3514,Adult Swim,https://www.youtube.com/channel/UCgPClNr5VSYC3syrDUIlzLw,6690000,7424,1
oA-uLPzMilU,"How To Light A Space | Mistakes, Rules + Lighting In Interior Design",https://www.youtube.com/watch?v=oA-uLPzMilU,632731,19702,Reynard Lowell,https://www.youtube.com/channel/UC7dR3zb454qbmuzTR2_ABhQ,200000,77,1
cZZ3o9aeDQk,SPRING into Helluva Boss + Hazbin Hotel,https://www.youtube.com/watch?v=cZZ3o9aeDQk,1201307,91553,Vivziepop,https://www.youtube.com/channel/UCzfyYtgvkx5mLy8nlLlayYg,7930000,234,1
h-TE0A_xDxw,SPIDER-MAN: ACROSS THE SPIDER-VERSE - Spider-Stan ft. Stan Verrett (ESPN),https://www.youtube.com/watch?v=h-TE0A_xDxw,76548,3353,Sony Pictures Entertainment,https://www.youtube.com/channel/UCz97F7dMxBNOfGYu3rx8aCw,6740000,4645,1
TzDpO2Icvx0,LOVE IT !!! HOPE IN REAL LIFE ALL MEN ARE LIKE THAT   LOYAL &amp; FAITHFUL 🤗🤗#drama #cdrama #shorts,https://www.youtube.com/watch?v=TzDpO2Icvx0,81847,12985,Cdrama BOX,https://www.youtube.com/channel/UC1RMpjsUQcBuel6-GIeV9Cw,3330000,539,1
73AhZcf1HUw,[BT21] BT21 UNIVERSE 2 ANIMATION EP.06 - CHIMMY,https://www.youtube.com/watch?v=73AhZcf1HUw,22647406,904141,BT21,https://www.youtube.com/channel/UCINr5W7cwW06ADtsszAToAw,5340000,385,1
Po9MIxR5nHM,New Honda Brio &quot;Flex in Sophistication&quot;,https://www.youtube.com/watch?v=Po9MIxR5nHM,2170196,81,Hondaisme,https://www.youtube.com/channel/UCnE7GyB1Ws1QdhqStSOUxYA,66500,466,2
AWrlQmWCcmo,Toyota Hybrid - Talk Less prove More Eps. 1 (Om Mobi &amp; Dion Wiyoko),https://www.youtube.com/watch?v=AWrlQmWCcmo,872157,51,ToyotaIndonesia,https://www.youtube.com/channel/UCxVa64ZcWGi_VStlkfmoteQ,674000,788,2
5L0VEZGkXOE,Volkswagen | Think confident drive confident with a 221 Volkswagen,https://www.youtube.com/watch?v=5L0VEZGkXOE,1104786,17,Volkswagen Ireland,https://www.youtube.com/channel/UCZmD60sK2hxzwaBRIsYqLpA,7170,243,2
u3vSOVe7ki0,Cat® Mining CVAs: Through the Ages,https://www.youtube.com/watch?v=u3vSOVe7ki0,2090300,64,Cat® Products,https://www.youtube.com/channel/UC-cPWz8Fwk5vdWS-nwW4GSQ,269000,5121,2
66HO4X-R5W0,LEIDER GEIL! VW T6.1 California Wohnmobil Killer! Twin Monotube Project Rhön Camp Mercedes Vito 4x4,https://www.youtube.com/watch?v=66HO4X-R5W0,4697,93,GERMAN TELEVISION,https://www.youtube.com/channel/UCX1oID0GF9NKfDvB4j0l2-Q,350000,7141,2
18APOQ8VUVc,Hyundai CRETA | Dengan Hyundai SmartSense keselamatan Anda prioritas utama,https://www.youtube.com/watch?v=18APOQ8VUVc,5094297,170,Hyundai Motors Indonesia,https://www.youtube.com/channel/UCkhbQClk7tV-_G5nn0pkFXg,204000,323,2
